id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,Male,44,1,28.0,0,> 2 Years,Yes,40454.0,26.0,217,1
2,Male,76,1,3.0,0,1-2 Year,No,33536.0,26.0,183,0
3,Male,47,1,28.0,0,> 2 Years,Yes,38294.0,26.0,27,1
4,Male,21,1,11.0,1,< 1 Year,No,28619.0,152.0,203,0
5,Female,29,1,41.0,1,< 1 Year,No,27496.0,152.0,39,0
6,Female,24,1,33.0,0,< 1 Year,Yes,2630.0,160.0,176,0
7,Male,23,1,11.0,0,< 1 Year,Yes,23367.0,152.0,249,0
8,Female,56,1,28.0,0,1-2 Year,Yes,32031.0,26.0,72,1
9,Female,24,1,3.0,1,< 1 Year,No,27619.0,152.0,28,0
10,Female,32,1,6.0,1,< 1 Year,No,28771.0,152.0,80,0
11,Female,47,1,35.0,0,1-2 Year,Yes,47576.0,124.0,46,1
12,Female,24,1,50.0,1,< 1 Year,No,48699.0,152.0,289,0
13,Female,41,1,15.0,1,1-2 Year,No,31409.0,14.0,221,0
14,Male,76,1,28.0,0,1-2 Year,Yes,36770.0,13.0,15,0
15,Male,71,1,28.0,1,1-2 Year,No,46818.0,30.0,58,0
16,Male,37,1,6.0,0,1-2 Year,Yes,2630.0,156.0,147,1
17,Female,25,1,45.0,0,< 1 Year,Yes,26218.0,160.0,256,0
18,Female,25,1,35.0,1,< 1 Year,No,46622.0,152.0,299,0
